name,category
havregrød tilberedt,Tørvarer
havtorn,Frugter
hel rødspætte,Kød & Fisk
hele nelliker,Krydderier
hellig basilikum,Grøntsager
hindbær,Frugter
hindbæreddike,Frugter
hindbærmarmelade,Frugter
hindbærsirup,Drikkevarer
hindbærstøv,Frugter
hirsefrø,Tørvarer
hjertemuslinger,Kød & Fisk
hjertesalat,Grøntsager
hoisin sauce,Krydderier
hokkaido græskar,Grøntsager
honning,Krydderier
hotdogbrød,Tørvarer
hummerhaler,Kød & Fisk
hummus,Færdigvarer
hvedekerner,Tørvarer
hvedemel,Tørvarer
hvid chokolade,Søde Sager
hvid fondant,Krydderier
hvid portvin,Krydderier
hvid quinoa,Tørvarer
hvide asparges,Grøntsager
hvide bønner,Tørvarer
hvidkål,Grøntsager
hvidløg,Grøntsager
hvidløgsflødeost,Mejeri
hvidløgspulver,Grøntsager
hvidtøl,Krydderier
hvidvin,Krydderier
hvidvinseddike,Krydderier
hyldeblomstsaft,Drikkevarer
hyldeblomstskærme,Frugter
hyldebær,Frugter
hyldebærsaft,Drikkevarer
hytteost,Mejeri
hønsebouillon,Krydderier
hønsebryst,Kød & Fisk
hønsefond,Krydderier
hørfrø,Grøntsager
iceberg,Grøntsager
indmad fra anden,Kød & Fisk
ingefær,Grøntsager
ingefærsirup,Drikkevarer
isterninger,Drikkevarer
isterninger knuste,Drikkevarer
isvafler,Søde Sager
jalapenos,Grøntsager
jasminris,Tørvarer
jomfruhummer,Kød & Fisk
jomfruhummerhaler,Kød & Fisk
jordbær,Frugter
jordbærsaft,Drikkevarer
jordbærsyltetøj,Frugter
jordnødder,Grøntsager
jordskokker,Grøntsager
julesalat,Grøntsager
kaffe,Krydderier
kaffirblade,Grøntsager
kahlua,Drikkevarer
kakaonibs,Krydderier
kalkunbryst,Kød & Fisk
kalvebouillon,Krydderier
kalvebov,Kød & Fisk
kalveschnitzel,Kød & Fisk
kammuslinger,Kød & Fisk
kanelstang,Krydderier
kantareller,Grøntsager
kapers,Grøntsager
kapersbær,Grøntsager
karamelcreme,Søde Sager
karameller,Søde Sager
kardemommekapsler,Krydderier
karse,Grøntsager
kartoffelchips,Færdigvarer
kartoffelmel,Tørvarer
kartofler,Grøntsager
ketchup,Færdigvarer
kidneybønner,Grøntsager
kiks,Tørvarer
kikærter,Tørvarer
kirsebær,Frugter
kirsebærlikør,Drikkevarer
kirsebærsaft,Drikkevarer
kirsebærsauce,Frugter
kirsebærvin,Drikkevarer
kiwi,Frugter
klementin,Frugter
knoldselleri,Grøntsager
knuste isterninger,Drikkevarer
knækkede hvedekerner,Tørvarer
knækkede rugkerner,Tørvarer
kogt lun havregrød,Tørvarer
kokoscreme,Grøntsager
kokosflager,Grøntsager
kokosmel,Tørvarer
kokosmælk,Mejeri
kokosolie,Krydderier
kokossukker,Krydderier
kold julesauce,Færdigvarer
kold risengrød,Tørvarer
koldrøget laks,Kød & Fisk
koncentereret hindbærsaft,Drikkevarer
koncentreret tomatpuré,Grøntsager
korianderfrø,Krydderier
koteletter,Kød & Fisk
krabbeklør,Kød & Fisk
krustader,Færdigvarer
kryddersmør,Mejeri
krydderurter,Krydderier
krydrede pølser,Kød & Fisk
krymmel,Søde Sager
kuller,Kød & Fisk
kulør,Krydderier
kvæder,Frugter
kylling,Kød & Fisk
kyllinge skrog,Kød & Fisk
kyllingebouillon,Kød & Fisk
kyllingebryst,Kød & Fisk
kyllingefilet,Kød & Fisk
kyllingefond,Kød & Fisk
kyllingelår,Kød & Fisk
kyllingeskroget,Kød & Fisk
kyllingevinger,Kød & Fisk
kålpølse,Kød & Fisk
kærnemælk,Mejeri
kørvel,Grøntsager
ladyfingers,Søde Sager
lagereddike,Krydderier
lakridsrod,Grøntsager
lakridsrodspulver,Krydderier
lakridssirup,Krydderier
laks,Kød & Fisk
laks i sushikvalitet,Kød & Fisk
laksefilet,Kød & Fisk
lammeculotte,Kød & Fisk
lammekoteletter,Kød & Fisk
lammekrone,Kød & Fisk
lammekølle,Kød & Fisk
lammemørbrad,Kød & Fisk
landskinke,Kød & Fisk
lasagneplader,Tørvarer
laurbærblade,Krydderier
lavendelblomster,Grøntsager
le puy delikatesse linser,Tørvarer
leverpostej,Færdigvarer
lime,Frugter
limesirup,Drikkevarer
limoncello,Drikkevarer
linguine,Tørvarer
lys muscovadosukker,Krydderier
lys rom,Krydderier
lys sirup,Krydderier
lys tahin,Krydderier
løg,Grøntsager
løgpulver,Grøntsager
macadamia nødder,Grøntsager
macaroni,Tørvarer
madeira,Drikkevarer
majs,Grøntsager
majskolbe,Grøntsager
majskorn til popcorn,Grøntsager
majsmel,Tørvarer
majsstivelse,Krydderier
makroner,Søde Sager
mandelmel,Tørvarer
mandelmælk,Mejeri
mandelsmør,Grøntsager
mandler,Grøntsager
mango,Frugter
mango chutney,Frugter
mangosirup,Drikkevarer
manitoba hvedemel,Tørvarer
marcipan,Søde Sager
marmelade,Frugter
marsala,Drikkevarer
mascarpone,Mejeri
matcha,Krydderier
mayonnaise,Færdigvarer
medisterpølse,Kød & Fisk
mediumstærk karry,Krydderier
medjool dadler,Frugter
mild chilipasta,Krydderier
miso,Krydderier
mont d'or,Mejeri
morgenfrueblade,Grøntsager
mousserende vin,Drikkevarer
muscovadosukker,Krydderier
muskatnød,Krydderier
muslinger,Kød & Fisk
mynte te,Grøntsager
myntedip,Grøntsager
myntesirup,Drikkevarer
mælk,Mejeri
mælkechokolade,Søde Sager
mælkepulver,Mejeri
mørk chokolade,Søde Sager
mørk rom,Krydderier
mørk sirup,Krydderier
mørk øl,Krydderier
naan,Tørvarer
nachos,Færdigvarer
nakkefilet,Kød & Fisk
nakkekoteletter,Kød & Fisk
natron,Tørvarer
naturel flødeost,Mejeri
nektarin,Frugter
nigella frø,Grøntsager
noritang,Grøntsager
nougat,Søde Sager
nougatbunden,Søde Sager
nudler,Tørvarer
nye kartofler,Grøntsager
nødder,Grøntsager
oksebouillon,Krydderier
oksebov,Kød & Fisk
oksefond,Krydderier
oksehaler,Kød & Fisk
okseinderlår,Kød & Fisk
oksekød,Kød & Fisk
oksemørbrad,Kød & Fisk
okseskank,Kød & Fisk
oliven,Grøntsager
olivenolie,Krydderier
oliventapenade,Færdigvarer
onglet,Kød & Fisk
orange fondant,Krydderier
oreo,Søde Sager
ost,Mejeri
padron,Grøntsager
pak choi,Grøntsager
pankorasp,Tørvarer
papaya,Grøntsager
pappardelle,Tørvarer
parmaskinke,Kød & Fisk
parmesan,Mejeri
parmesanskorpe - se under 'tip til opskriften',Mejeri
passionsfrugt,Frugter
pasta,Tørvarer
pasta muslingeskaller,Tørvarer
pasta orzo,Tørvarer
pasta penne,Tørvarer
pastaskruer,Tørvarer
pastasløjfer,Tørvarer
pastinakker,Grøntsager
peanutbutter,Krydderier
peanuts,Grøntsager
pecorino,Mejeri
pekannødder,Grøntsager
perlebyg,Tørvarer
perleløg,Grøntsager
perlesukker,Søde Sager
persille,Grøntsager
persillerod,Grøntsager
pesto,Færdigvarer
pickles,Færdigvarer
pikant flødeost,Mejeri
pillede edamamebønner,Grøntsager
pinjekerner,Grøntsager
piskefløde,Mejeri
pistaciekerner,Grøntsager
pitabrød,Tørvarer
polenta majsmel,Tørvarer
porre,Grøntsager
portobellosvampe,Grøntsager
portvin,Krydderier
potaske,Krydderier
prosecco,Drikkevarer
puffede quinoa,Tørvarer
purløg,Grøntsager
påskeæg,Mejeri
påskeæg til pynt,Mejeri
pære,Frugter
quinoa,Tørvarer
rabarber,Frugter
rabarberkompot,Frugter
rabarbersaft,Drikkevarer
radiser,Grøntsager
ramen nudler,Tørvarer
ramsløg,Grøntsager
rapsolie,Krydderier
rasp,Tørvarer
rejer,Kød & Fisk
remoulade,Færdigvarer
revet citronskal,Grøntsager
revet mozzarella,Mejeri
ribbensteg,Kød & Fisk
ribs,Frugter
ribsgele,Frugter
ribssaft,Drikkevarer
ricotta,Mejeri
ris,Tørvarer
riseddike,Krydderier
risotto ris,Tørvarer
rispapir,Tørvarer
ristede løg,Færdigvarer
roastbeef,Færdigvarer
romainesalat,Grøntsager
romanesco kål,Grøntsager
rosenkål,Grøntsager
rosiner,Frugter
rosmarinkartofler,Grøntsager
rosmarinsirup,Drikkevarer
rucola,Grøntsager
rugbrød,Tørvarer
rugflager,Tørvarer
rugmel,Tørvarer
rygeost,Mejeri
rålakridspulver,Krydderier
råsyltede rabarber,Grøntsager
rød balsamico,Krydderier
rød chili,Grøntsager
rød frugtfarve,Krydderier
rød grapefrugt,Frugter
rød karrypasta,Krydderier
rød spidskål,Grøntsager
rød vermouth,Drikkevarer
rødbeder,Grøntsager
røde linser,Tørvarer
rødkål,Grøntsager
rødløg,Grøntsager
rødspættefilet,Kød & Fisk
rødvin,Krydderier
røget laks,Kød & Fisk
røget makrel,Kød & Fisk
røget paprika,Krydderier
rørsukker,Krydderier
safran,Krydderier
salat,Grøntsager
salatblade,Grøntsager
salatløg,Grøntsager
salsiccia,Kød & Fisk
saucejævner,Færdigvarer
sennep,Krydderier
sennepsfrø,Krydderier
serranoskinke,Kød & Fisk
sesamfrø,Grøntsager
sesamolie,Krydderier
shiitake svampe,Grøntsager
sigtet ølandshvedemel,Tørvarer
simpel sirup,Krydderier
sirup,Krydderier
skalotteløg,Grøntsager
skinke,Kød & Fisk
skinkekød i tern,Kød & Fisk
skumfiduser,Søde Sager
skyr,Mejeri
skært oksekød,Kød & Fisk
slik,Søde Sager
smarties,Søde Sager
små bolchestokke,Søde Sager
smør,Mejeri
smør og olie til stegning,Mejeri
snaps,Drikkevarer
soja,Krydderier
solbær,Frugter
solbærsyltetøj,Frugter
solsikkekerner,Grøntsager
solsikkeolie,Krydderier
soltørrede tomater i olie,Kød & Fisk
sort fondant,Krydderier
sort te,Krydderier
sorte bønner,Tørvarer
sorte oliven,Grøntsager
sorte ris,Tørvarer
sorte sesamfrø,Grøntsager
spaghetti,Tørvarer
spareribs,Kød & Fisk
speltkerner,Tørvarer
spidskål,Grøntsager
spinat,Grøntsager
spiseligt guldstøv,Krydderier
spiseligt pink kagestøv,Krydderier
spiseligt sølvstøv,Krydderier
squash,Grøntsager
sriracha chilisauce,Færdigvarer
stenbiderrogn,Kød & Fisk
stikkelsbær,Frugter
stjerneanis,Krydderier
stængel bladselleri,Grøntsager
stængel citrongræs,Grøntsager
stængel frisk mynte,Krydderier
stængel frisk rosmarin,Krydderier
stængel frisk timian,Krydderier
stængel grønkål,Grøntsager
stærk chili,Grøntsager
stødt gurkemeje,Krydderier
stødt ingefær,Krydderier
stødt kanel,Krydderier
stødt kardemomme,Krydderier
stødt koriander,Krydderier
stødt nellike,Krydderier
stødt spidskommen,Krydderier
sukker,Krydderier
sukkerknald,Søde Sager
sukkersirup,Krydderier
sukkersirup - se nedenfor,Krydderier
sukkerærter,Grøntsager
sumak,Krydderier
suppehøne,Kød & Fisk
suppenudler,Tørvarer
surdej,Tørvarer
surdejsbrød,Tørvarer
sushi ris,Tørvarer
svampe,Grøntsager
svesker,Frugter
svineben,Kød & Fisk
svinekam,Kød & Fisk
svinekrone,Kød & Fisk
svinekæber,Kød & Fisk
svinemørbrad,Kød & Fisk
svineslag,Kød & Fisk
syltede agurker,Færdigvarer
syltede rødbeder,Grøntsager
sød chilisauce,Færdigvarer
sød finsk lakrids,Søde Sager
sød kartoffel,Grøntsager
sød kondenseret mælk,Mejeri
sød paprika,Grøntsager
sød sennep,Krydderier
sødmælk,Mejeri
tabasco,Krydderier
tahin,Krydderier
tamarind paste,Krydderier
tangsalat,Grøntsager
tarteletter,Færdigvarer
te,Krydderier
tequila,Drikkevarer
teriyaki,Krydderier
thai chilipasta,Krydderier
thaibasilikum,Grøntsager
tilberedt flæskesteg,Færdigvarer
tipo 00 mel,Tørvarer
toastbrød,Tørvarer
toffifee,Søde Sager
tom yum pasta,Krydderier
tomat passata,Grøntsager
tomater,Grøntsager
tomatsalsa,Færdigvarer
tonic,Drikkevarer
torskefilet,Kød & Fisk
torskerogn,Kød & Fisk
tortillas pandekager,Tørvarer
tranebær,Frugter
tranebærjuice,Drikkevarer
trøffel,Grøntsager
trøffelolie,Krydderier
trøffeltapenade,Færdigvarer
tun i olie,Kød & Fisk
tun steak,Kød & Fisk
tykmælk,Mejeri
tykstegsbøf,Kød & Fisk
tør hvidvin,Krydderier
tørrede abrikoser,Frugter
tørrede blomster,Frugter
tørrede figner,Frugter
tørrede karl johan svampe,Grøntsager
tørrede kikærter,Grøntsager
tørrede spiseligee blomster,Frugter
tørret basilikum,Krydderier
tørret dild,Krydderier
tørret mynte,Krydderier
