id,title,url,image_url,total_time,yields,ingredients,instructions
12414,Vegetar Lasagne,https://www.valdemarsro.dk/vegetar-lasagne/,https://www.valdemarsro.dk/wp-content/2017/09/vegetarlasagne-2.jpg,180,6 servings,løg | hvidløg | champignon | tørret timian | gulerødder | bladselleri | squash | aubergine | koncentreret tomatpuré | hakkede tomater på dåse | grøntsagsbouillon | olivenolie | løg | hvidløg | frossen spinat | frisk basilikum | piskefløde | muskatnød | olivenolie | smør | hvedemel | mælk | drys muskatnød | frisk mozzarella | lasagneplader,"Lasagnesauce
Sauter løg i en gryde med olie ved middelvarme, til de er bløde.
Skru op for varmen, kom champignoner i og rør godt igennem.
Kom alle de andre ingredienser til lasagnesaucen i gryden og lad det simre i minimum 1 time ved lav varme. Jo længere tid, jo mere cremet og lækker bliver saucen. Rør jævnligt og tilføj grøntsagsbouillon, hvis det er nødvendigt. Smag til med salt og peber.
Spinatfyld
Tilbered spinatfyldet, når lasagnesaucen har simret færdig.
Sauter løg og hvidløg på en pande med olie, til løgene er bløde. Tilsæt frossen spinat og kog op, til spi­naten er tøet op. Hæld overskydende væde fra. Tilsæt basilikum og fløde. Smag til med friskrevet muskatnød, salt og peber.
Mornaysauce
Smelt smør i en gryde og pisk hvedemel i til en melbolle. Pisk derefter langsomt mælk i, til alt melet er opløst og saucen er jævn. Kog den igennem og kom mere mælk i hvis nødvendigt.
Når saucen er jævn og har en god cremet men flydende konsistens, tilsættes ost og der røres til osten er smeltet. Smag til med muskatnød, salt og peber.
Vegetar Lasagne
Kom først halvdelen af mornaysaucen i et smurt ovn­fast fad.
Kom skiftevis lasagnesauce, spinatfyld og lasagneplader i, til der ikke er mere sauce tilbage og afslut med mornaysauce.
Bag lasagnen i en forvarmet ovn ved 175 grader varmluft i cirka 20-­25 minutter, til lasagnepladerne er møre."
12417,Chili sin carne,https://www.valdemarsro.dk/chili-sin-carne/,https://www.valdemarsro.dk/wp-content/2017/09/chili-sin-carne-1.jpg,45,4 servings,stødt spidskommen | stødt kanel | stødt koriander | røget paprika | chiliflager | rødløg | hvidløg | squash | bladselleri | aubergine | soltørrede tomater i olie | hakkede tomater på dåse | grøntsagsbouillon | kidneybønner | mørk chokolade | olivenolie | nachos | ris | cremefraiche 18 % | cheddar | rød chili | frisk koriander | lime,"Varm spidskommen, kanel, koriander, røget paprika og chiliflager igennem i en tør sauterpande eller en gryde. Rør rundt i et par minutter, til det dufter pragtfuldt.
Skru derefter lidt ned for varmen og tilsæt olie, hakkede rødløg og hvidløg. Rør rundt, til løgene er bløde. Tilsæt squash, aubergine, bladselleri, hakkede tomater, soltørrede tomater og grøntsagsboullion. Læg låg på og lad det simre i 30 minutter.
Tilsæt bønner og varm dem godt igennem i 5 minutter.
Tag sauterpanden af varmen og rør chokoladen i – start med halvdelen og smag til med resten af chokoladen samt salt og peber og evt. mere chili, hvis den skal være stærkere.
Server med ris, nachos, cremefraiche, chili, cheddarost, frisk koriander og lime."
12420,Culottesteg,https://www.valdemarsro.dk/culottesteg/,https://www.valdemarsro.dk/wp-content/2017/07/culottesteg-opskrift.jpg,90,1 serving,culottesteg | hvidløg | frisk rosmarin,"Tag culottestegen ud af køleskabet. Dup den godt af med køkkenrulle for kødsaft og lad den tempere på køkkenbordet.
Fjern sener fra undersiden af culotten med en skarp kniv og rids fedtet øverst på culotten i tern – sørg for ikke at skære gennem kødet, men blot lige gennem fedtet og ned til kødet.
Kom rosmarinnåle, salt, peberkorn og hvidløg i en morter og stød det sammen til en smuk grøn rosmarinsalt, som gnides godt ind i de ridsede fedttern på culottestegen.
På grill
Varm kullene i en grillstarter og fordel derefter de varme kul i hver side af en kuglegrill. Grill culottestegen ved indirekte varme på en rist.
Intervalstegning:
Tag culotten ud og lad den hvile på et skærebræt i cirka 15 minutter, dækket med et rent klæde og skær den derefter ud.
I ovnen
Forvarm ovnen til 175 grader varmluft.
Intervalstegning:
Tag culotten ud og lad den hvile i fadet i cirka 15 minutter, dækket med et rent klæde og skær den derefter ud.
Udskæring af culottesteg
På mine billeder her, har jeg først skåret skiver af den spidse ende af culottestegen. Man kan se at jeg faktisk godt lige kan skære en skive mere og derefter vender jeg stegen en kvart omgang og skærer på den anden led.
TIP – Stegetermometer
Vi bruger ikke selv et stegetermometer, når vi steger culottesteg. Men hvis man har en mindre eller større steg end vores – eller gerne vil være helt på den sikre side, så kan man bruge sådan et.
Her skal temperaturen være på 56-57 grader (endelig ikke mere), når culottestegen tages af grillen eller ud af ovnen i det sidste interval.
Opskriften er til 6-8 personer"
12423,Sprøde Wontons,https://www.valdemarsro.dk/sproede-wontons/,https://www.valdemarsro.dk/wp-content/2017/05/wonton-app.jpg,40,40 servings,champignon | løg | hvidløg | hakket svinekød | gulerødder | squash | ingefær | fishsauce | soja | sukker | rød chili | sesamolie | wonton plader | fritureolie,"Sauter champignoner, løg og hvidløg i olie på en pande ved høj varme.
Kom hakket kødet på panden sammen med resten af ingredienserne til fyldet. Steg godt igennem under omrøring, til kødet er gennemstegt. Smag til med fishsauce, ingefær, chili og friskkværnet peber.
Kom 1 spsk fyld på midten af hvert stykke wontonplade. Pensl med lidt vand i kanten og fold den sammen til en lille fin pakke.
Varm en gryde op med olie til den er omkring 175 grader. Hvis du ikke har et termometer til at måle med kan du tjekke temperaturen ved at dumpe et lille stykke wontondej i den varme olie. Olien er perfekt varm, når den bruser lidt op omkring dejen.
Steg 6-8 wontons ad gangen. Tag dem op af olien med en hulske og lad dem dryppe godt af på køkkenrulle inden servering.
 "
12425,Spaghetti Bolognese - pasta med kødsovs,https://www.valdemarsro.dk/spaghetti-bolognese/,https://www.valdemarsro.dk/wp-content/2015/09/bolognese-1.jpg,75,4 servings,bacon | løg | hvidløg | tørret timian | hakket oksekød | rødvin | soltørrede tomater i olie | rød balsamico | hakkede tomater på dåse | olivenolie | spaghetti | parmesan | dryp olivenolie,"Steg bacon i olivenolie i en tykbundet gryde ved middelhøj varme. Tag baconen op og lad den dryppe af på et stykke køkkenrulle.
Kom løg, hvidløg og timian i gryden med baconfedt og steg det under omrøring, til løgene er bløde.
Tilsæt kødet og brun det, hæld rødvinen ved og lad det koge lidt ind. Tilsæt soltørrede tomater, balsamico og hakkede tomater. Skær den ristede bacon i små tern og kom den tilbage i gryden.
Læg låg på og lad det simre i en times tid ved lav varme. Hold øje med, at det ikke koger tørt, tilsæt lidt ekstra rødvin eller fx lidt grøntsagsboullion. Hvis saucen er for våd, så tag låget af og kog lidt op, mens spaghettien gøres klar.
Kog spaghetti efter anvisning på pakken. Server pastaen i dybe tallerkener med bolognese, et stænk olivenolie og masser af friskrevet parmesanost."
12429,Pasta med Salviesmør,https://www.valdemarsro.dk/pasta-med-salviesmoer/,https://www.valdemarsro.dk/wp-content/2015/09/salviepasta.jpg,15,4 servings,pasta | frisk salvie | smør | parmesan | parmesan,"Smelt smørret i en gryde ved middelvarme. Kom salviebladene i og lad dem simre ved svag varme, til det dufter himmelsk af salvie i køkkenet. Fjern gryden fra blusset.
Kog pastaen, til den er perfekt mør med bid. Vend pastaen sammen med salviesmør og anret på tallerkener.
Riv parmesan hen over samt lidt friskkværnet peber og et par saltflager samt et par salvieblade."
12432,Boeuf Bourguignon,https://www.valdemarsro.dk/boeuf-bourguignon/,https://www.valdemarsro.dk/wp-content/2014/10/bouf-bourgignon.jpg,240,8 servings,oksekød | hvedemel | bacon | løg | gulerødder | rødvin | tørret timian | laurbærblade | oksebouillon | champignon | perleløg | sukker | smør | persille | kartofler | smør | mælk | muskatnød | smør,"Skær kødet i tern a ca. 3 × 3 cm. Dup kødet med køkkenrulle og vend stykkerne i mel.
Steg baconskiverne i smør, til de er næsten sprøde. Lad baconen dryppe af på et stykke køkkenrulle og skær det i tern.
Brun kødet lidt ad gangen i gryden og læg det efterhånden til side på en tallerken. Kom eventuelt lidt mere smør i gryden med baconfedtet og sauter løg og gulerødder heri, til løgene er bløde.
Kom kød og bacontern tilbage i gryden sammen med rødvin, timian, laurbærblade og oksebouillon.
Sæt låg på gryden og stil den i ovnen ved 125 grader i 3-4 timer.
Når der er en times tid, til retten er klar, lynsteges champignoner ved høj varme i smør. På en anden pande smeltes sukker ved lav varme, kom derefter smør på panden lad det bruse af og karamelliser perleløgene i sukkerlagen.
Smag retten til med salt og peber lige inden servering og rør champignoner og perleløg i gryden.
Server retten med finthakket persille.
Kartoffelmos
Kog kartoflerne i usaltet vand, til de er møre. Lun mælken i en kasserolle til den er ca. 50 grader varm.
Mos de varme nykogte kartofler let med smør og pisk derefter kartoffelmosen med en håndmikser, tilsæt imens den varme mælk lidt efter lidt, til konsistensen af kartoffelmosen er cremet, luftig og fløjlsblød.
Smag til med salt og peber, samt friskrevet muskatnød."
12435,Indisk Dhal med raita,https://www.valdemarsro.dk/dhal/,https://www.valdemarsro.dk/wp-content/2014/08/dhal-1.jpg,60,4 servings,hvidløg | ingefær | mediumstærk karry | stødt spidskommen | stødt koriander | stødt kardemomme | chiliflager | grøntsagsbouillon | røde linser | hakkede tomater på dåse | olivenolie | frisk mynte | græsk yoghurt 10 % | agurk | hvidløg | stødt spidskommen | frisk koriander,"Varm olien i en stor gryde ved middelvarme og tilsæt hvidløg og ingefær og rør rundt i 1 minut.
Tilsæt herefter karry, spidskommen, kardemomme, koriander, og chiliflager og svits krydderierne af i et minuts tid under omrøring.
Skyl linserne i en sigte og kom dem i gryden sammen med grøntsagsbouillon og hakkede tomater.
Lad det simre under låg i 30-45 minutter. Rør jævnligt i gryden og tilsæt eventuelt lidt ekstra grøntsagsbouillon, hvis den bliver for fast. Smag til med salt og server retten i dybe skåle med koriander på toppen.
Server kølig raita.
Raita
Rør alle ingredienserne til raita sammen og smag til."
12439,Bearnaise sauce,https://www.valdemarsro.dk/bearnaise/,https://www.valdemarsro.dk/wp-content/2014/08/bearnaise.jpg,30,4 servings,smør | hvidvinseddike | skalotteløg | frisk estragon | æggeblommer | citron,"Kom smørret i en gryde og smelt det ved laveste varme. Den smeltede smør deler sig i en klaret smør med et hvidt kærnemælkslignende bundfald i gryden. Hæld den klarede smør langsomt i en kande og kasser det hvide bundfald.
Kom estragonstænglerne – nip på forhånd estragonbladene af og læg dem til side til senere – eddike, vand, finthakket løg, samt en smule salt og peber i en ren gryde. Kog op og kog det ind til ca. 3-4 spsk. bearnaiseessens.
Si fyldet fra, så der kun er den rene essens tilbage. Kom essensen i en ren gryde, og sæt temperaturen på den laveste eller næst-laveste varme (på mit komfur sætter jeg varmen på 2 ud af 9)
Kom æggeblommer i gryden og pisk til det skummer og æggeblommerne begynder at tykne. Måske skal der lige skrues en anelse op for varmen, før at æggeblommerne tykner, det er dog vigtigt, at der hele tiden piskes i saucen og at æggeblommerne tykner inden smør piskes i, for ellers bliver saucen alt for tynd. Når æggeblommerne tykner, så skrues ned på laveste varme. Pisk 1 spsk. smør i ad gangen de første 10 spsk. og pisk derefter resten af smørret i i en tynd stråle, til alt smør er brugt.
Smag bearnaisen til med citronsaft, salt, peber og de finthakkede estragonblade inden servering."
12443,Laks på grill med citron og krydderurter,https://www.valdemarsro.dk/laks-paa-grill-med-citron-og-krydderurter/,https://www.valdemarsro.dk/wp-content/2014/05/laks-paa-grillen.jpg,20,4 servings,laksefilet | øko citron | krydderurter | smør,"Gnid laksen med en smule citronsaft fra en citronskive, og anret så laksefiletterne på grillen, kom citronskiver på, et par klatter smør, krydderurter, salt og peber.
Sæt evt låg på og grill i 10-15 minutter afhængig af varmen på grillen.
Laksen er færdig når den kan deles med en gaffel og stadig er lyserød i midten. Den må endelig ikke få for meget!
Retten kan også sagtens tilberedes i et ovnfast fad og bages i ovnen ved 200 grader i 12-16 minutter"
